genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Shcbp1,1.3603156875228807e-12,-0.1354977773276672,0.515,0.588,2.1585489329613072e-8,IL2,p129
Il27ra,1.5606677447400897e-12,0.21422275078748498,0.392,0.384,2.4764675773535742e-8,IL2,p129
Iqgap2,1.6074569932904416e-12,0.10273462886132778,0.354,0.392,2.5507127569532727e-8,IL2,p129
Polr3g,1.62828720549665e-12,-0.17785722311550112,0.307,0.375,2.583766137682084e-8,IL2,p129
Rab35,1.636404874744109e-12,0.17078818960623554,0.331,0.341,2.596647255243952e-8,IL2,p129
Cdc45,1.769091287460151e-12,0.11327537711740066,0.557,0.584,2.8071940549417676e-8,IL2,p129
Mad2l1,1.8985496969301882e-12,-0.10880469474009673,0.657,0.725,3.0126186590888226e-8,IL2,p129
Yif1b,1.9747516388795547e-12,-0.17107577049767464,0.406,0.482,3.1335359005740773e-8,IL2,p129
Mtfr1l,2.1076143615244473e-12,0.19469289721430716,0.316,0.327,3.344362468866993e-8,IL2,p129
Parpbp,2.439643897912469e-12,-0.3425894127633393,0.245,0.32,3.871226937207506e-8,IL2,p129
Ubald2,2.590415246238195e-12,-0.19655776988627569,0.619,0.696,4.1104709127307675e-8,IL2,p129
Pdrg1,2.797748939132286e-12,0.19595972210017576,0.459,0.466,4.439468016615111e-8,IL2,p129
Malt1,2.8809004569629162e-12,0.10991271088540022,0.579,0.614,4.571412845108756e-8,IL2,p129
Ppm1a,2.9024059665475725e-12,0.13223181186830169,0.419,0.438,4.605537787717688e-8,IL2,p129
H2ac8,2.9159868625058607e-12,-0.1128061807107213,0.648,0.714,4.6270879534243e-8,IL2,p129
Cad,3.0064617839468823e-12,0.11569621180543205,0.612,0.634,4.770653558766913e-8,IL2,p129
Pfkp,4.850134908844485e-12,0.157881533886307,0.542,0.556,7.696194073354429e-8,IL2,p129
Tasor2,4.95057252503613e-12,-0.11573208088331194,0.536,0.607,7.855568482727331e-8,IL2,p129
Degs1,5.4739131551759044e-12,0.10712729121451581,0.458,0.493,8.686005394633125e-8,IL2,p129
Otulin,5.6995064165934375e-12,0.19366795065002362,0.515,0.514,9.043976781850466e-8,IL2,p129
Dock10,6.066459810171035e-12,0.19227408163777981,0.822,0.823,9.626258426779399e-8,IL2,p129
Snhg5,6.451608050310381e-12,-0.1998241079115048,0.527,0.606,1.0237411654232512e-7,IL2,p129
Fam53a,6.689813995765921e-12,0.1373756396952901,0.381,0.402,1.0615396848481363e-7,IL2,p129
Ago3,6.919330754614518e-12,0.10581739336266716,0.349,0.377,1.0979594041422317e-7,IL2,p129
Spc25,8.907723458721321e-12,-0.11385398591661433,0.444,0.512,1.4134775584298991e-7,IL2,p129
Trim8,9.179313580323524e-12,0.22396327255862247,0.36,0.359,1.4565734789257368e-7,IL2,p129
Nup35,9.487344761609737e-12,-0.13937501794292761,0.368,0.433,1.505451866772233e-7,IL2,p129
Nck1,9.563935957270608e-12,0.1277165336445465,0.349,0.371,1.5176053576997e-7,IL2,p129
Mtg2,1.0620569795759222e-11,0.18569436324755362,0.316,0.327,1.6852720151910732e-7,IL2,p129
Sco1,1.094515843527742e-11,-0.16078257764939075,0.169,0.22,1.736777740509821e-7,IL2,p129
Mis18bp1,1.2213080404897186e-11,-0.1937519623627032,0.444,0.524,1.9379715986490854e-7,IL2,p129
Bub3,1.2402016353831507e-11,-0.10580863446746303,0.817,0.869,1.9679519550259836e-7,IL2,p129
Armh3,1.3656156636112318e-11,-0.30069290624220146,0.147,0.204,2.1669589350183026e-7,IL2,p129
Traf3,1.3933178329078631e-11,0.11426420665156722,0.485,0.511,2.210916737258197e-7,IL2,p129
Fam185a,1.4056657281345766e-11,-0.1496905049745687,0.281,0.342,2.230510377403946e-7,IL2,p129
Plcl2,1.480736855764949e-11,0.19106868343204986,0.38,0.391,2.3496332427278214e-7,IL2,p129
Bub1b,1.5585746984964495e-11,-0.18169625560271885,0.445,0.519,2.473146331574166e-7,IL2,p129
Anapc15,1.6457325512926753e-11,-0.1247778570773769,0.647,0.721,2.611448412391217e-7,IL2,p129
Tmem97,1.696267990154586e-11,-0.18592742240176177,0.644,0.714,2.691638046777297e-7,IL2,p129
H2bc11,1.8066219183339627e-11,-0.11331653068835576,0.663,0.727,2.866747660012332e-7,IL2,p129
Ercc1,2.125711381979746e-11,-0.1190547951844958,0.368,0.433,3.373078820925461e-7,IL2,p129
Hectd2,2.145947323618778e-11,0.24042642273089854,0.19,0.201,3.405189213118277e-7,IL2,p129
Pih1d1,2.201638043581584e-11,-0.15297855383128933,0.372,0.436,3.493559247555258e-7,IL2,p129
Serinc3,2.2129142041509617e-11,-0.15922393197570123,0.554,0.624,3.511452259146746e-7,IL2,p129
Rbm19,2.3859120377265094e-11,-0.1896334167161553,0.383,0.455,3.785965221464425e-7,IL2,p129
Snx2,2.542882761856149e-11,0.11721768252843612,0.526,0.54,4.035046366513337e-7,IL2,p129
Pnp,2.5826244210253524e-11,0.13212550732018546,0.558,0.572,4.098108431283029e-7,IL2,p129
Atp6v1d,2.590882531432178e-11,0.12130775349238887,0.562,0.582,4.11121240087658e-7,IL2,p129
Chchd1,2.6359077151284445e-11,-0.11017908156154854,0.837,0.896,4.182658362365816e-7,IL2,p129
Ung,2.78160192653208e-11,0.3713046316054289,0.324,0.282,4.413845937021104e-7,IL2,p129
Ube3c,2.955791552792759e-11,-0.11396960943729428,0.429,0.5,4.69025003597155e-7,IL2,p129
Chd3,3.001366115987354e-11,0.10141558133045608,0.591,0.625,4.7625677528487333e-7,IL2,p129
Polr1h,3.133854289625879e-11,-0.10077507319313406,0.546,0.613,4.972799986778345e-7,IL2,p129
Dglucy,3.179376864985136e-11,0.12411747141498308,0.467,0.499,5.045035209358414e-7,IL2,p129
Vbp1,3.244456714074971e-11,-0.1514066684237787,0.55,0.626,5.148303913894165e-7,IL2,p129
Slc25a1,3.29116557435817e-11,0.1137222612779385,0.449,0.47,5.222421533391544e-7,IL2,p129
Rangap1,3.766644785887856e-11,-0.10932742172031673,0.816,0.865,5.97691194624685e-7,IL2,p129
Cript,3.993071225112452e-11,0.13160721914135864,0.473,0.494,6.336205420008439e-7,IL2,p129
Abl2,4.2223638688407536e-11,0.10202267978246193,0.284,0.309,6.700046987076508e-7,IL2,p129
Sephs1,4.723205271564775e-11,-0.19370328831151862,0.354,0.423,7.494782124918985e-7,IL2,p129
Sh3bp2,5.54721221751815e-11,0.1495813219897233,0.141,0.157,8.802316346757801e-7,IL2,p129
H3c6,5.7091067369142644e-11,-0.12595212259861188,0.506,0.577,9.059210570135555e-7,IL2,p129
Tti1,5.752422436480902e-11,0.14918268968608284,0.262,0.274,9.127943922207895e-7,IL2,p129
Selenoh,5.7919240110630986e-11,-0.1210273478267696,0.915,0.941,9.190625020754925e-7,IL2,p129
Ppp2r1b,5.915718466083977e-11,0.22649875116925977,0.451,0.443,9.387062061982055e-7,IL2,p129
Ccr8,7.21837590651086e-11,-0.18195271152724435,0.318,0.389,1.1454118888451432e-6,IL2,p129
Xpo1,8.21114505297036e-11,-0.11643623856407181,0.801,0.862,1.3029444970053367e-6,IL2,p129
Taf5l,8.512687065665442e-11,0.19808208030371843,0.322,0.32,1.3507931835797924e-6,IL2,p129
Ywhag,8.634942302453569e-11,0.19297478021033554,0.507,0.505,1.3701926445533323e-6,IL2,p129
Nol8,8.653351252737491e-11,-0.13633804418023365,0.605,0.679,1.3731137767843852e-6,IL2,p129
Slc3a2,8.899223072764242e-11,-0.10042202519877526,0.65,0.721,1.4121287171862298e-6,IL2,p129
2310022A10Rik,9.054866547557932e-11,0.19407280730690868,0.292,0.293,1.4368262237664927e-6,IL2,p129
Pdgfb,9.325188088003747e-11,-0.3235649002347467,0.272,0.346,1.4797208458044345e-6,IL2,p129
