genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Rad51b,1.7142945139732656e-9,-0.34483353607441586,0.64,0.735,2.720242534772778e-5,IL6,p129,2,moderate (1-5)
Ccl4,1.7458623128971471e-9,-0.5626632783856766,0.51,0.596,2.770334318105193e-5,IL6,p129,4,moderate (1-5)
Gnl3,1.7808664208909271e-9,0.20080403044985884,0.929,0.904,2.825878836669723e-5,IL6,p129,1,unique
Dbnl,1.8179109980924831e-9,0.288552717075628,0.794,0.744,2.8846611717731524e-5,IL6,p129,6,high (5-10)
Tank,1.8798249456086844e-9,-0.41465131199018046,0.458,0.573,2.9829062236918603e-5,IL6,p129,1,unique
Kmt2a,1.9387073334974223e-9,-0.3586920335906025,0.632,0.709,3.07634079679371e-5,IL6,p129,1,unique
Nfkbia,1.982080269397386e-9,-0.3144130481015308,0.936,0.941,3.1451649714797724e-5,IL6,p129,9,high (5-10)
P4hb,2.0144507496813916e-9,0.2511186184726596,0.884,0.856,3.1965304495944324e-5,IL6,p129,1,unique
Scd2,2.268363949676825e-9,-0.6648701351094295,0.239,0.34,3.5994399153471866e-5,IL6,p129,2,moderate (1-5)
Lman2,2.2704824288179507e-9,0.25330267988519783,0.83,0.794,3.602801518048324e-5,IL6,p129,1,unique
Eef1a1,2.62471037588005e-9,-0.13992408356455943,1,1,4.164890424446464e-5,IL6,p129,2,moderate (1-5)
Plgrkt,2.7842854438513352e-9,-0.46177679522659265,0.449,0.532,4.418104142303298e-5,IL6,p129,3,moderate (1-5)
Trpm4,2.793909030144183e-9,1.186353614170744,0.112,0.058,4.4333748490327895e-5,IL6,p129,1,unique
Alpl,2.8151837274868707e-9,1.174048064694272,0.115,0.065,4.4671335387761664e-5,IL6,p129,1,unique
Nek6,2.8631981020199254e-9,1.5239449852049365,0.08,0.032,4.543322748285218e-5,IL6,p129,1,unique
Rrs1,2.891164705456004e-9,0.2692222828710825,0.817,0.753,4.587700154617587e-5,IL6,p129,1,unique
Rxra,2.940052338384751e-9,-0.7398403583957109,0.15,0.243,4.6652750505489224e-5,IL6,p129,1,unique
Dpp4,3.080325213563203e-9,-0.8341708569599473,0.104,0.191,4.887860048882091e-5,IL6,p129,1,unique
