genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Hacd1,3.4266259952246874e-24,0.9842023614332724,0.369,0.21,5.437370129222536e-20,IL6,p129,1,unique
Cd74,3.967402022153193e-24,-1.01533188252734,0.255,0.429,6.295473528752686e-20,IL6,p129,2,moderate (1-5)
Cct3,4.4605583806218935e-24,0.2816555590186929,0.977,0.961,7.078014038370819e-20,IL6,p129,4,moderate (1-5)
Snu13,4.5420638958058325e-24,0.2442057193112697,0.993,0.99,7.207346989864696e-20,IL6,p129,2,moderate (1-5)
Morrbid,4.791467808157364e-24,2.5298710983544597,0.103,0.025,7.603101117984108e-20,IL6,p129,1,unique
Tigit,5.700672287928057e-24,1.2536187381400627,0.261,0.145,9.045826786484241e-20,IL6,p129,1,unique
Ighm,6.0775538702753286e-24,-0.8437180737284586,0.37,0.542,9.643862481352893e-20,IL6,p129,1,unique
Rap1b,8.641666827734405e-24,-0.3060579552215503,0.963,0.985,1.3712596922248954e-19,IL6,p129,9,high (5-10)
Nip7,9.39465955891123e-24,0.3756345616190984,0.912,0.861,1.4907445788080338e-19,IL6,p129,1,unique
Fam117b,1.3352494519847594e-23,-1.0823707507605331,0.229,0.402,2.1187738304094169e-19,IL6,p129,4,moderate (1-5)
Cish,1.778361705998193e-23,0.6819129235127079,0.513,0.33,2.821904355077933e-19,IL6,p129,8,high (5-10)
Add3,1.851920546064153e-23,-0.774613042684405,0.378,0.559,2.938627522494598e-19,IL6,p129,1,unique
Prickle1,1.91434590904514e-23,-1.5506001758754988,0.115,0.258,3.0376840884728282e-19,IL6,p129,1,unique
Hemk1,1.9511905294973093e-23,1.1835761996696814,0.287,0.145,3.096149132206331e-19,IL6,p129,1,unique
Ubash3a,2.522596131036133e-23,-0.6886859130329188,0.418,0.595,4.0028555407281356e-19,IL6,p129,1,unique
Fosl2,2.9232364785161523e-23,1.5099486025100526,0.18,0.069,4.638591644109429e-19,IL6,p129,1,unique
Tmem243,3.143904141809117e-23,-0.6360854819087228,0.511,0.657,4.9887470922227065e-19,IL6,p129,3,moderate (1-5)
Ppp3cc,3.7213863275787885e-23,0.8262817123332842,0.445,0.306,5.905095824602022e-19,IL6,p129,1,unique
Akap13,5.822618004205405e-23,-0.5802964511847171,0.522,0.691,9.239330249073136e-19,IL6,p129,1,unique
Bcl2l1,5.994471917765869e-23,-0.5439800487958927,0.687,0.795,9.512028039110882e-19,IL6,p129,3,moderate (1-5)
Nek7,1.062573079892903e-22,-0.6652465830751387,0.464,0.634,1.6860909631740586e-18,IL6,p129,2,moderate (1-5)
Mybbp1a,1.2201989024076793e-22,0.28541989106283117,0.982,0.966,1.9362116183405056e-18,IL6,p129,3,moderate (1-5)
Pnrc1,1.221469925686525e-22,-0.5531408831445541,0.591,0.739,1.938228478079378e-18,IL6,p129,3,moderate (1-5)
Dip2b,1.2919179945259898e-22,-0.6902360657330298,0.466,0.63,2.0500154737138408e-18,IL6,p129,1,unique
Smc4,1.444901527686886e-22,-0.26791661078868545,0.94,0.98,2.2927697441335507e-18,IL6,p129,2,moderate (1-5)
B4galnt1,1.5467820322809923e-22,-0.45935799215185374,0.73,0.831,2.4544337288234788e-18,IL6,p129,4,moderate (1-5)
Adam10,1.6674763702738634e-22,-0.60418161696069,0.593,0.731,2.645951504350566e-18,IL6,p129,4,moderate (1-5)
Gpr174,2.789554184700036e-22,-0.5920239461808522,0.49,0.661,4.426464580282017e-18,IL6,p129,1,unique
Cotl1,3.043205058089214e-22,-0.35938221621766964,0.907,0.945,4.8289577861759644e-18,IL6,p129,12,very high (10+)
Cd3e,4.35318620891088e-22,-0.3033344377029108,0.964,0.984,6.907635876299783e-18,IL6,p129,5,moderate (1-5)
Ripor2,5.052380420313758e-22,-0.766833048901562,0.376,0.549,8.01711725095387e-18,IL6,p129,2,moderate (1-5)
Degs1,5.497551049477015e-22,0.62607284324215,0.623,0.493,8.723514005310129e-18,IL6,p129,3,moderate (1-5)
Nusap1,5.62062309421236e-22,-0.664390616258225,0.509,0.649,8.918804725896173e-18,IL6,p129,2,moderate (1-5)
Flot1,5.886201327859881e-22,1.5313703827713856,0.179,0.073,9.340224267048059e-18,IL6,p129,1,unique
Mt2,6.453335564014054e-22,3.706991707294396,0.069,0.013,1.0240152872977503e-17,IL6,p129,2,moderate (1-5)
Bcl2l11,7.5748900541215005e-22,-1.1078351511826332,0.163,0.322,1.2019835537879999e-17,IL6,p129,1,unique
Cab39,8.127574449724293e-22,-0.458441175307884,0.727,0.834,1.2896835136822509e-17,IL6,p129,2,moderate (1-5)
Ankrd12,8.465159115231022e-22,0.5647606580928435,0.705,0.594,1.3432514484048582e-17,IL6,p129,2,moderate (1-5)
Nop56,1.49390472275627e-21,0.2550558832847627,0.992,0.978,2.3705280140696495e-17,IL6,p129,1,unique
Mrpl12,1.7168935022782984e-21,0.2859197241575402,0.976,0.957,2.7243666094152038e-17,IL6,p129,2,moderate (1-5)
Ksr1,2.098042013486284e-21,0.8923157736004865,0.376,0.231,3.329173067000036e-17,IL6,p129,2,moderate (1-5)
Krtcap2,2.155864986770056e-21,0.31441671072493893,0.954,0.926,3.420926561006725e-17,IL6,p129,1,unique
Cd53,2.2807175323297108e-21,0.42141420368032856,0.889,0.819,3.619042580300785e-17,IL6,p129,8,high (5-10)
Csrp1,2.3772578251487903e-21,-0.6179032248112752,0.572,0.696,3.7722327169461006e-17,IL6,p129,5,moderate (1-5)
Skap2,2.5372923163854046e-21,1.1274258817452898,0.242,0.112,4.02617544764036e-17,IL6,p129,1,unique
Uba1,2.8109981197490608e-21,0.3598396649217871,0.873,0.857,4.46049181641781e-17,IL6,p129,1,unique
Slc9b2,2.981273742672692e-21,-0.8059802433315725,0.297,0.467,4.7306851748730275e-17,IL6,p129,3,moderate (1-5)
