genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2,n_ligand,class
Ccdc34,7.288935712397588e-10,-0.12603800569336876,0.618,0.691,1.1566083188432494e-5,IL2,p129,1,unique
AI662270,7.456742519267236e-10,-0.14915041267462992,0.34,0.41,1.1832359029573247e-5,IL2,p129,1,unique
Ndc80,7.746678513493934e-10,-0.2138554628751011,0.501,0.591,1.2292429465212176e-5,IL2,p129,1,unique
Mettl4,8.23063583892224e-10,-0.13513686895139543,0.201,0.248,1.3060372949201812e-5,IL2,p129,1,unique
Hcst,8.772243433528403e-10,0.2706341878917542,0.277,0.278,1.3919795880322872e-5,IL2,p129,1,unique
Mterf3,9.312742261568301e-10,0.11517920110671698,0.36,0.375,1.4777459420656582e-5,IL2,p129,1,unique
Dgcr6,9.801309517702522e-10,0.16410937751672683,0.279,0.286,1.5552717942690364e-5,IL2,p129,1,unique
Htra2,1.0060009922483668e-9,-0.28620730435264297,0.381,0.467,1.5963223744997084e-5,IL2,p129,1,unique
Tmem97,1.0179219420210658e-9,-0.20699468242620567,0.631,0.703,1.6152385375990272e-5,IL2,p129,1,unique
Bnip2,1.036460014970221e-9,-0.1144790250406776,0.627,0.702,1.6446547517547466e-5,IL2,p129,1,unique
Stat5b,1.2138321731736932e-9,0.16118412347249866,0.399,0.413,1.926108892392016e-5,IL2,p129,1,unique
Plcl2,1.3072880565076422e-9,0.2559680678326046,0.366,0.36,2.0744046880663268e-5,IL2,p129,1,unique
Armc10,1.3776804422253742e-9,0.23022884159973112,0.374,0.367,2.186103325723224e-5,IL2,p129,1,unique
Vps33b,1.383685547671531e-9,0.25561647057039316,0.174,0.173,2.1956322270451856e-5,IL2,p129,1,unique
Madd,1.39059929280598e-9,0.18292212427332477,0.235,0.249,2.2066029578245294e-5,IL2,p129,1,unique
Pfkl,1.407089116175284e-9,0.16189891383313226,0.448,0.451,2.2327690095469408e-5,IL2,p129,2,moderate (1-4)
Galt,1.4597870832044776e-9,0.2746609003494078,0.157,0.158,2.3163901436288656e-5,IL2,p129,1,unique
Marcksl1,1.5042322757577427e-9,-0.1340809985022191,0.824,0.874,2.3869157751723862e-5,IL2,p129,4,moderate (1-4)
Snhg5,1.524965469388583e-9,-0.22128960946505344,0.51,0.592,2.4198152068258035e-5,IL2,p129,1,unique
Degs1,1.5661394797115974e-9,0.10723995610897974,0.439,0.468,2.485150126406363e-5,IL2,p129,3,moderate (1-4)
Ncapd2,1.5686839064820907e-9,-0.10381788799587229,0.601,0.672,2.4891876228057816e-5,IL2,p129,2,moderate (1-4)
Fam169b,1.595155748045249e-9,0.10535538578105186,0.392,0.421,2.5311931409982018e-5,IL2,p129,2,moderate (1-4)
H2ac24,1.622822384837895e-9,-0.20925819482161767,0.159,0.209,2.5750945602607724e-5,IL2,p129,1,unique
Gimap6,1.6589420034449526e-9,0.2086338354173931,0.607,0.613,2.632409171066451e-5,IL2,p129,1,unique
H2ax,1.690745919593789e-9,-0.13202501103450348,0.752,0.818,2.6828756252114243e-5,IL2,p129,1,unique
Kif2c,1.7623999773611786e-9,-0.26606152093864344,0.312,0.384,2.7965762840767186e-5,IL2,p129,1,unique
Vipas39,1.7809459891439544e-9,0.21833829627578716,0.236,0.24,2.826005095573627e-5,IL2,p129,1,unique
Prps1l3,1.7903964496994183e-9,0.20408357091250703,0.371,0.364,2.8410010863830374e-5,IL2,p129,1,unique
Dnajb1,1.8610976815187546e-9,0.20112124534482023,0.433,0.421,2.95318980103396e-5,IL2,p129,1,unique
Snapc1,1.8921208739533644e-9,0.17493453668162418,0.321,0.329,3.0024174027891987e-5,IL2,p129,1,unique
Cdk5rap2,1.947605690296829e-9,-0.10507332211916064,0.353,0.414,3.090460709363009e-5,IL2,p129,1,unique
Utrn,1.9486339985861512e-9,0.1410035776034113,0.583,0.61,3.092092428956504e-5,IL2,p129,2,moderate (1-4)
Msh6,1.9562902228062762e-9,0.28355170861189427,0.483,0.441,3.104241325548999e-5,IL2,p129,1,unique
Bub1b,2.0316753858925822e-9,-0.23949745134987321,0.413,0.488,3.22386250233435e-5,IL2,p129,1,unique
Kdm2a,2.0495829694189582e-9,0.1295779108076579,0.444,0.459,3.252278255874002e-5,IL2,p129,1,unique
Il27ra,2.154862260258712e-9,0.2568325809866643,0.375,0.358,3.419335434578525e-5,IL2,p129,1,unique
Tmem199,2.277614670326122e-9,-0.15427745727791686,0.26,0.314,3.6141189588734914e-5,IL2,p129,1,unique
Ska3,2.5989003545328392e-9,-0.10010842309855096,0.184,0.227,4.12393508257271e-5,IL2,p129,1,unique
Dpy19l1,2.6726970148731483e-9,0.3638974493502527,0.239,0.212,4.241035623200712e-5,IL2,p129,1,unique
Mtpap,2.6941625841595448e-9,-0.1448916806182039,0.315,0.375,4.2750971885443654e-5,IL2,p129,1,unique
Usp4,2.7250228723875095e-9,0.10957460670197072,0.462,0.486,4.3240662939045e-5,IL2,p129,1,unique
Samhd1,2.734483058616823e-9,0.16849225401573212,0.575,0.575,4.3390777174131754e-5,IL2,p129,5,high (4-8)
Snx2,2.777394574782081e-9,0.12763915021008831,0.504,0.507,4.4071697112642065e-5,IL2,p129,1,unique
Slc43a3,2.87618853817504e-9,-0.14292690674472786,0.374,0.448,4.563935972376154e-5,IL2,p129,2,moderate (1-4)
Trappc6b,2.88777204724369e-9,-0.11991293538437786,0.494,0.564,4.582316684566288e-5,IL2,p129,1,unique
Uhrf1,2.943662597606562e-9,0.1648120617872677,0.771,0.777,4.671003809882093e-5,IL2,p129,1,unique
Lap3,3.009636660881816e-9,-0.1281808317280286,0.565,0.643,4.775691453487265e-5,IL2,p129,1,unique
Mapkapk3,3.1190631518662824e-9,-0.12284249523329371,0.475,0.541,4.949329409381418e-5,IL2,p129,1,unique
Eid1,3.131320502588595e-9,0.2272894355359747,0.356,0.345,4.9687793735075835e-5,IL2,p129,1,unique
Yif1b,3.1450579632432134e-9,-0.18926416815755331,0.395,0.468,4.990577976074331e-5,IL2,p129,2,moderate (1-4)
Mef2a,3.241889360837138e-9,0.1482976357284863,0.437,0.448,5.1442300377763705e-5,IL2,p129,1,unique
Nup35,3.2644936091974192e-9,-0.12296131506107956,0.361,0.421,5.1800984590744654e-5,IL2,p129,2,moderate (1-4)
Slain1,3.516174237793196e-9,0.25697649364162367,0.251,0.245,5.579465280530244e-5,IL2,p129,1,unique
Traf3,3.770472442951522e-9,0.11365707246912804,0.463,0.487,5.982985672475475e-5,IL2,p129,1,unique
Cdk1,3.813638633130079e-9,-0.16898178976268585,0.748,0.804,6.05148178305081e-5,IL2,p129,2,moderate (1-4)
Mrpl3,3.8849299602756765e-9,0.12365246757988511,0.637,0.65,6.164606860965443e-5,IL2,p129,1,unique
Rnf145,3.977111011462039e-9,-0.17548291981124375,0.188,0.239,6.310879752987963e-5,IL2,p129,1,unique
Tubgcp2,4.199827556423502e-9,0.1505016859170838,0.418,0.417,6.664286366532813e-5,IL2,p129,3,moderate (1-4)
Pdk1,4.203702693156504e-9,0.12932831224673724,0.24,0.26,6.670435433500741e-5,IL2,p129,1,unique
Sac3d1,4.295410285236489e-9,0.1330328973634447,0.375,0.395,6.815957040613261e-5,IL2,p129,1,unique
Lactb2,4.338922996161879e-9,0.10284732575337974,0.413,0.433,6.88500301030967e-5,IL2,p129,1,unique
Tubb4b,4.514638150494529e-9,-0.13555029505205907,0.915,0.944,7.163827817204719e-5,IL2,p129,1,unique
Impdh1,4.765364191169252e-9,0.1997023149798276,0.342,0.345,7.561679898547369e-5,IL2,p129,2,moderate (1-4)
Pcid2,4.981489539627898e-9,0.10680566760452036,0.297,0.318,7.904627601481548e-5,IL2,p129,1,unique
Nck1,5.033400043988663e-9,0.1360344725278071,0.323,0.341,7.986999189801211e-5,IL2,p129,1,unique
Cdyl,5.122578813114914e-9,0.11008058893621132,0.277,0.294,8.128508060650746e-5,IL2,p129,1,unique
Mettl3,5.1561793323016156e-9,-0.14804333954287152,0.214,0.265,8.181825364496203e-5,IL2,p129,1,unique
Ergic1,5.43002054782069e-9,-0.1515783504352365,0.695,0.769,8.616356605281872e-5,IL2,p129,2,moderate (1-4)
Eif4e2,5.641621796228961e-9,-0.10457007886933,0.739,0.8,8.952125466256114e-5,IL2,p129,1,unique
Gripap1,5.771351672962595e-9,0.11657297168781766,0.359,0.377,9.157980834657046e-5,IL2,p129,1,unique
Rfc1,5.824185290463793e-9,0.1183979882737829,0.844,0.859,9.241817218907946e-5,IL2,p129,1,unique
Foxk1,6.22559770543336e-9,-0.15954778744272646,0.248,0.312,9.878778438981656e-5,IL2,p129,1,unique
Lta,6.404213508838472e-9,0.13847989820030054,0.356,0.407,1.0162205995824888e-4,IL2,p129,2,moderate (1-4)
E2f3,6.416840377281488e-9,-0.1157196016637918,0.476,0.544,1.0182242310670264e-4,IL2,p129,1,unique
Slc39a3,6.681082334305198e-9,0.18977745990182537,0.127,0.132,1.0601541448075487e-4,IL2,p129,1,unique
Atp6v1d,6.7420576378283105e-9,0.1610862672214688,0.547,0.555,1.0698297059705962e-4,IL2,p129,1,unique
Prmt6,6.927765245558989e-9,0.4282967454205524,0.159,0.141,1.0992977891653004e-4,IL2,p129,1,unique
Capn2,7.143105876400083e-9,0.22566741804115553,0.171,0.179,1.1334680404671652e-4,IL2,p129,1,unique
Map2k1,7.2548862223606015e-9,0.15549470941202315,0.382,0.393,1.15120534576418e-4,IL2,p129,2,moderate (1-4)
Aim2,7.3688461500055325e-9,-0.2713298308439729,0.201,0.265,1.1692885070828778e-4,IL2,p129,2,moderate (1-4)
Fam241a,7.385349112839994e-9,0.28877014442480053,0.279,0.265,1.1719071972254502e-4,IL2,p129,2,moderate (1-4)
Parpbp,8.011178607932744e-9,-0.416725895131437,0.228,0.302,1.2712138215067678e-4,IL2,p129,1,unique
Pgam5,8.034507653564738e-9,-0.10011685838650042,0.39,0.457,1.2749156744676525e-4,IL2,p129,1,unique
Pias1,8.150992766741255e-9,0.15444807747931089,0.451,0.453,1.2933995322265024e-4,IL2,p129,1,unique
Otulin,8.187789388213537e-9,0.219806196643213,0.507,0.488,1.299238420121724e-4,IL2,p129,1,unique
Itprid2,9.2096111887768e-9,0.19275783438001115,0.091,0.1,1.461381103435103e-4,IL2,p129,1,unique
Sco1,9.249741753811236e-9,-0.1432246010728324,0.163,0.206,1.467749021494767e-4,IL2,p129,2,moderate (1-4)
Ago3,9.303622474031886e-9,0.10657696318861463,0.326,0.349,1.4762988141793796e-4,IL2,p129,1,unique
Abcd3,9.366614507403688e-9,-0.15601729838457534,0.376,0.445,1.4862943900348174e-4,IL2,p129,1,unique
A130010J15Rik,9.779789878562024e-9,-0.14734318519828804,0.141,0.179,1.5518570579302218e-4,IL2,p129,1,unique
Pnpla8,1.0186728969625271e-8,0.14943509024301305,0.189,0.203,1.6164301529001377e-4,IL2,p129,1,unique
Spryd7,1.0324325242772e-8,0.15520098593371356,0.262,0.278,1.638263929523061e-4,IL2,p129,1,unique
Tagap,1.0515911257723313e-8,0.24547273727147512,0.33,0.335,1.668664798375535e-4,IL2,p129,1,unique
Zmym2,1.1232301645820736e-8,-0.10570926930912504,0.274,0.325,1.7823416251588344e-4,IL2,p129,1,unique
Tmem131l,1.1674498149725373e-8,0.31728697992558197,0.405,0.376,1.852509366398422e-4,IL2,p129,1,unique
Itgb1,1.1735713252961684e-8,-0.14253304579193388,0.625,0.704,1.86222297897996e-4,IL2,p129,1,unique
Polr3g,1.2124635242987017e-8,-0.14854050853194645,0.298,0.349,1.92393712035718e-4,IL2,p129,1,unique
St6gal1,1.2169463286432306e-8,-0.2837264993105675,0.262,0.334,1.9310504342910783e-4,IL2,p129,1,unique
Cep55,1.2229004938382026e-8,-0.17154666786004824,0.413,0.485,1.94049850362246e-4,IL2,p129,1,unique
Sacs,1.2248697440224384e-8,0.13807570664766322,0.393,0.408,1.943623309814805e-4,IL2,p129,1,unique
Kif20a,1.2304177361302756e-8,-0.2519599374265744,0.355,0.43,1.9524268636915212e-4,IL2,p129,1,unique
Pnp,1.2712977425821004e-8,0.1325759097504573,0.529,0.541,2.017295257929277e-4,IL2,p129,2,moderate (1-4)
Slc16a1,1.2812700884777072e-8,-0.1576230748356241,0.394,0.463,2.0331193763964257e-4,IL2,p129,1,unique
Phf3,1.2854159472966068e-8,0.10269673852496562,0.652,0.672,2.0396980251702557e-4,IL2,p129,1,unique
Ap2a2,1.2985963683958364e-8,0.20570369068602545,0.294,0.29,2.0606127173705132e-4,IL2,p129,1,unique
Rnf149,1.3322331129915212e-8,-0.16988172719297978,0.18,0.231,2.113987503694946e-4,IL2,p129,2,moderate (1-4)
Nfya,1.3646812154238416e-8,-0.1462136762155013,0.3,0.358,2.165476152634552e-4,IL2,p129,1,unique
Gak,1.3826447110257317e-8,0.10888956967884345,0.399,0.417,2.1939806274556307e-4,IL2,p129,1,unique
Nol8,1.3859141627245737e-8,-0.18247039914114796,0.575,0.652,2.1991685934113532e-4,IL2,p129,1,unique
Obi1,1.3862680601215668e-8,0.270928400438017,0.454,0.429,2.199730157800902e-4,IL2,p129,1,unique
Bop1,1.3920411550553198e-8,-0.11651333564396,0.551,0.615,2.2088909048417817e-4,IL2,p129,1,unique
Map3k14,1.4095945841805151e-8,0.1680136425165859,0.167,0.173,2.236744686177641e-4,IL2,p129,1,unique
Ccdc85b,1.4193749619572858e-8,-0.19941880756940011,0.335,0.4,2.252264189633821e-4,IL2,p129,1,unique
Chchd1,1.4590902988208245e-8,-0.12360646122090936,0.826,0.885,2.315284486168884e-4,IL2,p129,1,unique
Hook3,1.4653403259172996e-08,-0.1886696353353993,0.405,0.488,2.3252020291655712e-4,IL2,p129,1,unique
