genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Gm10131,3.1396502585429134e-6,-0.4111737389130754,0.151,0.213,0.04981997030255895,IL2,p129
Rfc1,3.288789871883951e-6,0.10997184725944198,0.856,0.871,0.05218651768705453,IL2,p129
Yif1b,3.4175032952409564e-6,-0.17107577049767464,0.406,0.482,0.054228942288883496,IL2,p129
Chchd1,3.597190344779808e-6,-0.11017908156154854,0.837,0.896,0.05708021639096599,IL2,p129
Ppp2r1b,3.6766501093882825e-6,0.22649875116925977,0.451,0.443,0.058341083935773266,IL2,p129
Rnf146,3.7115555585065546e-6,0.19684503918080054,0.275,0.282,0.05889496360238201,IL2,p129
Cntrl,3.7261964192327323e-6,-0.16571436710571436,0.739,0.802,0.059127284780384995,IL2,p129
Tpi1,3.733975169982234e-6,0.12581090915853843,0.94,0.956,0.05925071799727809,IL2,p129
Otulin,3.934823895472539e-6,0.19366795065002362,0.515,0.514,0.06243778557335825,IL2,p129
Slc25a42,4.026879511564313e-6,0.35916754203851564,0.127,0.122,0.06389852408950251,IL2,p129
Knl1,4.041688268277737e-6,-0.1735939185040937,0.644,0.72,0.06413350944103113,IL2,p129
Ncapd2,4.088693195280799e-6,-0.10331423859813768,0.617,0.695,0.064879383622715725,IL2,p129
Snhg5,4.101427692752296e-6,-0.1998241079115048,0.527,0.606,0.06508145462859344,IL2,p129
Cdk9,4.3338320928409486e-6,0.13281445453357546,0.636,0.646,0.06876924764920017,IL2,p129
Kif23,4.442029402994207e-6,-0.25344551302613855,0.493,0.578,0.07048612256671208,IL2,p129
Parpbp,4.628612403073216e-6,-0.3425894127633393,0.245,0.32,0.07344682161196579,IL2,p129
H2ax,4.767426387802961e-6,-0.14791254220107974,0.755,0.817,0.07564952192165739,IL2,p129
Xpo1,5.161672841053719e-6,-0.11643623856407181,0.801,0.862,0.08190542464184042,IL2,p129
Mtg2,5.721499152641177e-6,0.18569436324755362,0.316,0.327,0.0907887485541102,IL2,p129
Il27ra,5.958455591717306e-6,0.21422275078748498,0.392,0.384,0.09454877332937021,IL2,p129
Myd88,5.979868113234593e-6,0.110019996558268,0.404,0.423,0.09488854722080653,IL2,p129
Cript,6.044989788376519e-6,0.13160721914135864,0.473,0.494,0.0959218979619586,IL2,p129
Ly6a,2.8587365698594856e-250,5.308186793804024,0.74,0.054,4.5362431890530317e-246,IL27,p129
Tbx21,3.0959245623839234e-221,6.083646187476097,0.557,0.01,4.9126130955908094e-217,IL27,p129
Stat1,1.7920099601432643e-194,1.8458980131772302,0.947,0.667,2.843561404755332e-190,IL27,p129
Gbp2,4.913668854246052e-193,3.2097555821862302,0.825,0.227,7.797009737917636e-189,IL27,p129
Psmb9,1.6047590585998112e-169,1.6299595483550777,0.931,0.666,2.5464316741861805e-165,IL27,p129
Irf8,2.410039881549039e-162,2.7771000565470887,0.787,0.283,3.8242512840420154e-158,IL27,p129
Irf1,1.2997677184640526e-157,2.6080572878227715,0.817,0.249,2.0624714156587587e-153,IL27,p129
Tap1,7.60393166145065e-142,1.788209219310243,0.878,0.508,1.206591876038989e-137,IL27,p129
Igtp,5.718133976933545e-125,2.7088617368714374,0.72,0.188,9.073534994598149e-121,IL27,p129
Iigp1,1.4155803144787397e-116,5.133640444233116,0.385,0.017,2.246242843014864e-112,IL27,p129
Gbp4,1.0027208297414458e-87,2.867768348452867,0.524,0.108,1.5911174126337263e-83,IL27,p129
Irgm1,6.01299989344465e-77,2.997179795070729,0.454,0.086,9.54142823091797e-73,IL27,p129
Gbp6,1.0949703502523807e-72,3.790037041781404,0.321,0.028,1.7374989517804777e-68,IL27,p129
Calhm6,6.804477959601714e-60,3.9397599566625088,0.263,0.021,1.0797345626296e-55,IL27,p129
Gimap4,1.28437072902724e-55,1.4213771883341815,0.751,0.428,2.0380394728204244e-51,IL27,p129
Gbp5,1.4198476940756805e-55,2.178251783726954,0.51,0.151,2.2530143209592897e-51,IL27,p129
Gbp7,1.2914074150825767e-53,2.736280229338039,0.343,0.058,2.0492052862530327e-49,IL27,p129
Nlrc5,3.421193335284957e-48,1.6161158378573992,0.598,0.242,5.42874958443017e-44,IL27,p129
Ifi47,1.543388511733351e-47,1.1144526801435013,0.837,0.614,2.4490488904184815e-43,IL27,p129
Psmb8,1.860748604041986e-47,0.7600132164824309,0.972,0.894,2.9526358848938235e-43,IL27,p129
Irgm2,2.2719729531020265e-46,2.9089063681695553,0.274,0.039,3.605166681982296e-42,IL27,p129
Etv6,3.9503688266792114e-42,1.1615736782431978,0.759,0.447,6.268445254174572e-38,IL27,p129
Tgtp2,1.7816945864681784e-40,3.2813010826015305,0.188,0.016,2.8271929698077054e-36,IL27,p129
Tap2,2.140291312344639e-39,1.1526948595632218,0.69,0.428,3.396214254428473e-35,IL27,p129
Tbkbp1,8.034888467947353e-36,6.209086115786375,0.091,0.001,1.274976102093886e-31,IL27,p129
Gimap5,2.443945083034635e-34,0.8629495882634151,0.861,0.656,3.878052057759359e-30,IL27,p129
Icam1,1.5881977180667385e-33,1.7443297343222428,0.416,0.153,2.5201521390283007e-29,IL27,p129
Ms4a4b,2.8940193112343943e-32,-0.8223894667240763,0.776,0.91,4.5922298430667365e-28,IL27,p129
Rgs1,1.5211472281758591e-31,1.028580185673459,0.817,0.607,2.4137564216694534e-27,IL27,p129
Bst2,1.5437244825051206e-31,0.7604433198214645,0.845,0.707,2.4495820088391252e-27,IL27,p129
Ppa1,1.7333820581766081e-31,0.5396908665962434,0.975,0.909,2.750530649914642e-27,IL27,p129
Aff3,2.627100713571265e-30,0.9360794234734426,0.842,0.66,4.168683412294884e-26,IL27,p129
ENSMUSG00000121501,3.139541262782168e-29,1.2509502930217304,0.557,0.322,4.981824075782744e-25,IL27,p129
B2m,4.59910415637201e-29,0.3111418183863517,1,1,7.297858475331106e-25,IL27,p129
9330175E14Rik,6.807069362657355e-29,2.501441847988395,0.186,0.029,1.0801457664664692e-24,IL27,p129
Pmepa1,1.3243240407370986e-28,1.2787314969916368,0.526,0.248,2.101437387841628e-24,IL27,p129
Ly6c1,2.101742048490423e-28,4.263847561516908,0.111,0.006,3.3350442825446035e-24,IL27,p129
Tapbpl,2.1766919242665425e-28,1.04658888786689,0.668,0.417,3.4539747454261494e-24,IL27,p129
Irf9,7.5791826333776835e-28,1.7445530409603998,0.341,0.112,1.2026647002643708e-23,IL27,p129
Junb,5.549425525870564e-27,0.5884389729619444,0.958,0.834,8.805828424451412e-23,IL27,p129
Stat3,5.965466989343231e-26,0.8867873940030176,0.734,0.49,9.466003018689838e-22,IL27,p129
Il12rb1,1.5110509270720875e-24,1.258577689114932,0.504,0.25,2.3977356110779885e-20,IL27,p129
Lad1,2.0520451677496056e-24,-0.9631456374529557,0.598,0.769,3.2561852721850744e-20,IL27,p129
Sla,7.052443897748584e-23,-0.7253542778166173,0.717,0.848,1.1190817976947454e-18,IL27,p129
Socs1,1.2148473962149112e-22,1.138222329359943,0.56,0.316,1.927719848313821e-18,IL27,p129
H2-T23,1.258642255987902e-22,0.680988713405329,0.839,0.669,1.997213531801603e-18,IL27,p129
Adamts6,2.8454328628841484e-22,-0.8636126181138892,0.579,0.757,4.515132866824567e-18,IL27,p129
Cytip,3.3760291076133556e-22,-0.7608031120379513,0.715,0.865,5.357082987960873e-18,IL27,p129
Batf,7.467122009301108e-22,0.8802164235670045,0.676,0.458,1.1848829204358999e-17,IL27,p129
Erap1,1.0229954356656804e-21,0.7998937526824209,0.717,0.517,1.6232891573143016e-17,IL27,p129
Ube2l6,2.62439091408265e-21,3.764428929227026,0.1,0.01,4.1643835024663487e-17,IL27,p129
Gbp10,5.284655613923019e-21,3.97312024352712,0.075,0.004,8.385691528173046e-17,IL27,p129
Parp14,3.8843903378532087e-20,1.4803679575472362,0.332,0.128,6.163750588105471e-16,IL27,p129
Lsp1,1.2870814589458828e-19,-0.4361104387602597,0.939,0.981,2.0423408590553267e-15,IL27,p129
Aebp2,3.2025360359962026e-19,0.5367384087169909,0.906,0.807,5.081784181918774e-15,IL27,p129
Eno3,3.679709376169793e-19,-1.217196015539605,0.368,0.555,5.838962838106228e-15,IL27,p129
Nampt,5.3557127523920565e-19,0.7458617651534847,0.693,0.509,8.498444995495715e-15,IL27,p129
Slco3a1,9.330791431390654e-19,0.9258419043667762,0.562,0.389,1.480609984333069e-14,IL27,p129
St6galnac4,1.311718091654092e-18,0.7667906987478385,0.715,0.507,2.0814342678367133e-14,IL27,p129
Tnfsf11,2.386768128723362e-18,-0.9628386862498093,0.56,0.722,3.787323666658231e-14,IL27,p129
Gbp3,2.777556615859722e-18,2.18100059995726,0.191,0.05,4.407426838046207e-14,IL27,p129
Zbp1,5.8160465493703946e-18,1.546906444243697,0.269,0.096,9.228902664540942e-14,IL27,p129
Psme2,6.710131712745738e-18,0.3114649405811183,1,0.993,1.0647637001784936e-13,IL27,p129
Tgtp1,7.286771699194621e-18,3.421788135374358,0.078,0.006,1.1562649332282026e-13,IL27,p129
Notch1,1.7514927919580288e-17,0.7940579800456884,0.607,0.38,2.779268762279e-13,IL27,p129
Tmem35a,1.8900286476697103e-17,3.994351744279304,0.066,0.004,2.9990974581222966e-13,IL27,p129
Cnn3,1.9209502865287412e-17,0.9830351569411486,0.51,0.326,3.0481639146638066e-13,IL27,p129
Srm,2.8896849165799313e-17,0.38087540147162224,0.975,0.951,4.585352025629035e-13,IL27,p129
Mt2,1.3016408838939712e-16,3.2908684623543016,0.094,0.013,2.0654437545629535e-12,IL27,p129
Noc4l,1.9461130589051067e-16,0.5317363517477403,0.867,0.721,3.0880922018706234e-12,IL27,p129
Katna1,3.247092483971431e-16,0.8295034701896257,0.587,0.405,5.152486353565867e-12,IL27,p129
Ncl,3.4647793237706627e-16,0.2340268969568582,1,1,5.497911830959288e-12,IL27,p129
Gimap3,4.495746049984882e-16,0.7363114399187988,0.729,0.529,7.133849832116011e-12,IL27,p129
Npm1,4.740361143424054e-16,0.18172921866580616,1,1,7.522005062385289e-12,IL27,p129
Hspd1,5.220060139650071e-16,0.2495459019884545,0.994,0.996,8.283191429596732e-12,IL27,p129
H2-Q4,7.730393512809159e-16,0.6108008859797435,0.778,0.584,1.2266588426125574e-11,IL27,p129
Slamf7,1.075750394204303e-15,1.0730547603121063,0.399,0.195,1.707000725523388e-11,IL27,p129
Mt1,1.3767587270812178e-15,2.1540997678021125,0.155,0.041,2.1846407481324764e-11,IL27,p129
Ptpn1,1.4575314474945298e-15,0.49053348081328674,0.859,0.79,2.31281090088432e-11,IL27,p129
Ifi211,2.1631664430784625e-15,2.0159683153915315,0.152,0.051,3.4325125118769044e-11,IL27,p129
Mdfic,3.705059552576533e-15,0.5325935228969327,0.881,0.748,5.879188498028443e-11,IL27,p129
H2az2,5.624201434828016e-15,-0.6158835397679676,0.801,0.857,8.924482836785097e-11,IL27,p129
Coro1a,6.071549484577808e-15,-0.31390045404232936,0.994,0.994,9.634334722128065e-11,IL27,p129
Eif5a,8.002672639607935e-15,0.19651327657610373,1,1,1.269864094452987e-10,IL27,p129
Zap70,9.833841632862073e-15,-0.4554269083403004,0.845,0.893,1.5604339903025536e-10,IL27,p129
Pomp,1.0621573470645566e-14,0.3041471195212022,0.989,0.969,1.6854312783220384e-10,IL27,p129
Myh9,1.74121370053968e-14,-0.40970796709017554,0.975,0.987,2.7629579000163645e-10,IL27,p129
Agfg1,3.860760594685756e-14,0.4896301991025355,0.886,0.79,6.126254911647357e-10,IL27,p129
Ptprc,4.0294645848899046e-14,-0.23004408888502148,1,0.999,6.393954403303301e-10,IL27,p129
Psme1,5.286156188109601e-14,0.2598104088059565,0.992,0.989,8.388072639292315e-10,IL27,p129
Icos,7.580206433003461e-14,0.6347540734220718,0.712,0.536,1.2028271567889891e-9,IL27,p129
Bcl3,9.630721036061912e-14,1.2224924290402739,0.18,0.062,1.5282028140023042e-9,IL27,p129
Gimap8,1.0666407660717519e-13,0.9225572031763498,0.355,0.175,1.6925455676026559e-9,IL27,p129
Cd3g,1.1703527945580231e-13,-0.4273515781515711,0.881,0.917,1.857115814404671e-9,IL27,p129
H2-K1,1.5002711535863158e-13,0.2656391968877534,0.994,0.992,2.380630266510766e-9,IL27,p129
Clic4,2.955530292326639e-13,0.717032487109472,0.579,0.377,4.689835467863911e-9,IL27,p129
Samhd1,3.2972597154017653e-13,0.6026813151813467,0.745,0.601,5.232091716399521e-9,IL27,p129
Rpl34,5.201621141224613e-13,-0.163734671703752,1,1,8.253932426895216e-9,IL27,p129
Foxn3,7.050625450444977e-13,-0.48747749523854034,0.814,0.878,1.1187932464766089e-8,IL27,p129
Hsp90aa1,8.313242351336897e-13,0.20450640035499346,1,0.998,1.3191452963101388e-8,IL27,p129
Itm2a,1.0774159758704765e-12,-0.46502202196220277,0.917,0.93,1.7096436705112722e-8,IL27,p129
Ldha,1.282453169859936e-12,0.19652903048310666,1,0.999,2.0349966899337466e-8,IL27,p129
Srsf2,1.409682093258398e-12,0.2507156270332178,0.989,0.991,2.236883545582426e-8,IL27,p129
Pkm,2.82507836705474e-12,0.23178121756560754,1,0.998,4.482834352842462e-8,IL27,p129
Ybx3,2.827370568419949e-12,0.2856925190296091,0.981,0.965,4.486471617968775e-8,IL27,p129
Psma4,3.091631710926502e-12,0.2650672026390448,0.989,0.977,4.9058011988981735e-8,IL27,p129
Insl6,4.217342805974818e-12,1.3751323931649546,0.244,0.106,6.692079564520841e-8,IL27,p129
Pml,4.871052014657418e-12,0.7934970491031179,0.537,0.358,7.729385336858391e-8,IL27,p129
Pfkp,4.876404957274074e-12,0.6095189889244358,0.734,0.556,7.7378793862025e-8,IL27,p129
Tapbp,5.842909324867397e-12,0.588060236877589,0.712,0.544,9.271528516699585e-8,IL27,p129
Ran,6.1407489809793925e-12,0.1606557000037503,0.997,0.999,9.7441404830181e-8,IL27,p129
Rel,7.349919720727514e-12,-0.46932847445719983,0.823,0.864,1.166285261285042e-7,IL27,p129
Fnbp1,7.924590125504604e-12,-0.4369887025824109,0.812,0.857,1.2574739611150705e-07,IL27,p129
Ubald2,8.017536610276078e-12,0.5105795528589824,0.809,0.696,1.272222709318608e-7,IL27,p129
Nr4a1,1.1267985144803432e-11,-0.9071619747651543,0.44,0.547,1.7880038827774085e-7,IL27,p129
Kpnb1,1.2031537479089981e-11,0.3077214869059699,0.978,0.929,1.9091643671819983e-7,IL27,p129
Zc3h12d,1.2335924055948882e-11,0.5313834059339579,0.762,0.586,1.9574644291979686e-7,IL27,p129
Klf6,3.50033002992798e-11,0.8467238469763212,0.488,0.317,5.554323691489719e-7,IL27,p129
Rps15a,3.6652528304699426e-11,-0.1791611550402532,1,1,5.816023191389705e-7,IL27,p129
Serbp1,4.1591864580916884e-11,0.1872290777806569,1,0.999,6.599797071699891e-7,IL27,p129
Rmdn3,4.178778908468474e-11,0.6104473220590203,0.562,0.372,6.630886371957775e-7,IL27,p129
Cct3,7.810133888575666e-11,0.24873324416435905,0.997,0.961,1.2393120454391867e-6,IL27,p129
Rgs10,9.22268199885755e-11,-0.48749367148092937,0.712,0.825,1.463455179578716e-6,IL27,p129
Pim1,9.649336390258092e-11,0.41130338780745035,0.637,0.447,1.531156698406154e-6,IL27,p129
Ifi27,1.0095104251809904e-10,1.2398841959582998,0.188,0.073,1.6018911426771956e-6,IL27,p129
Snhg6,1.1113586772883122e-10,0.3653879822277397,0.97,0.939,1.7635039491210937e-6,IL27,p129
Trps1,1.465213704902586e-10,0.6697626371004362,0.582,0.416,2.3250011069394237e-6,IL27,p129
Aprt,2.2204827668077144e-10,0.2558388091383277,0.997,0.972,3.5234620543704812e-6,IL27,p129
Dbnl,2.278103264536048e-10,0.41820373220953255,0.845,0.744,3.6148942601658006e-6,IL27,p129
Limd2,2.3832357508372837e-10,-0.34368358027092305,0.911,0.958,3.781718489428602e-6,IL27,p129
Cd3d,2.4397113493027744e-10,-0.26988682772007366,0.981,0.986,3.871333969073642e-6,IL27,p129
Cotl1,2.523555079565e-10,-0.3315003575557438,0.911,0.945,4.004377200253742e-6,IL27,p129
Irag2,2.6642816413808806e-10,-0.3707291855142347,0.853,0.899,4.227682108543181e-6,IL27,p129
Ptges3,3.7572231367578956e-10,0.2157862768890877,0.983,0.986,5.961961673407429e-6,IL27,p129
Atxn1,4.3911526574821907e-10,0.4026604191617156,0.895,0.83,6.96788103689274e-6,IL27,p129
Gbp8,5.172687152022403e-10,1.6787449974427098,0.125,0.038,8.208019972829148e-6,IL27,p129
Cdkn1a,6.029856076070637e-10,0.5861907699985831,0.759,0.651,9.568175621508886e-6,IL27,p129
Ccni,6.082010083072023e-10,-0.5497724649837891,0.618,0.714,9.650933599818685e-6,IL27,p129
Eif1,6.468279060276011e-10,0.1677339118061627,1,0.999,1.0263865212845974e-5,IL27,p129
Fyb,7.150385529142385e-10,-0.6234549159650716,0.56,0.675,1.1346231757643136e-5,IL27,p129
H2-D1,7.714641132572794e-10,0.22553554800721942,0.997,0.987,1.224159254916651e-5,IL27,p129
Txnrd1,7.808163840923079e-10,0.3389837527243498,0.914,0.833,1.238999438277674e-5,IL27,p129
Csrp1,8.345284413592074e-10,-0.6063644821324263,0.601,0.696,1.3242297307487902e-5,IL27,p129
Rcsd1,1.1764051322771073e-9,-0.831534356260542,0.31,0.449,1.866719663897314e-5,IL27,p129
Dusp5,1.3050850761053842e-9,-0.6803280206834259,0.44,0.59,2.0709089987640235e-5,IL27,p129
Srsf3,1.375230749538373e-9,0.20719808649630878,1,0.992,2.1822161533674903e-5,IL27,p129
Hspa5,1.603010500389846e-9,0.26814392544607424,0.986,0.982,2.5436570620186076e-5,IL27,p129
Niban1,1.756847646798275e-9,-0.6617715359129421,0.468,0.599,2.787765845939503e-5,IL27,p129
Gimap9,1.893003591409745e-9,0.4823108913276427,0.748,0.608,3.0038180988489833e-5,IL27,p129
