genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comp_1,comp_2
Ndc1,2.582175262084505e-6,-0.1372072620612821,0.338,0.402,0.04097395705875692,IL2,p129
Slc25a1,2.6763304996916125e-6,0.1137222612779385,0.449,0.47,0.04246801236910651,IL2,p129
Supt4a,2.7518534773099323e-6,-0.11216153705516341,0.809,0.866,0.043666410977954005,IL2,p129
Tmem97,2.7657924895121797e-6,-0.18592742240176177,0.644,0.714,0.04388759522357927,IL2,p129
Ccr8,2.769984384433857e-6,-0.18195271152724435,0.318,0.389,0.043954112212196444,IL2,p129
Rnf146,2.794694315238423e-6,0.19684503918080054,0.275,0.282,0.0443462093942033,IL2,p129
Btg2,2.863808537253404e-6,0.13427074883214352,0.35,0.369,0.045442913869137014,IL2,p129
Slc3a2,2.8758231352620104e-6,-0.10042202519877526,0.65,0.721,0.04563356151033758,IL2,p129
Nras,2.937505473727568e-6,-0.1544738138784041,0.473,0.547,0.04661233685710905,IL2,p129
Arf3,3.0227007579591966e-6,0.1875137070176045,0.43,0.433,0.04796421562729653,IL2,p129
Armc10,3.0441614152026263e-6,0.2022384597686948,0.379,0.381,0.048304753336435274,IL2,p129
E2f6,3.1119322964523648e-6,0.2885739884037075,0.308,0.29,0.04938014168010613,IL2,p129
Spred2,3.145201148134614e-6,0.14999547700521854,0.309,0.325,0.04990805181860006,IL2,p129
Fam185a,3.193241144897696e-6,-0.1496905049745687,0.281,0.342,0.05067035048723664,IL2,p129
Ten1,3.6454786683470063e-6,0.11465497857461004,0.523,0.539,0.0578464555093303,IL2,p129
Mad2l1,3.649887286687428e-6,-0.10880469474009673,0.657,0.725,0.05791641146515611,IL2,p129
Pepd,3.768916318178948e-6,0.16819156123611778,0.389,0.399,0.05980516413686355,IL2,p129
Slc25a42,3.947624056856997e-6,0.35916754203851564,0.127,0.122,0.06264089853420682,IL2,p129
1500011B03Rik,4.014777744616275e-6,0.16069467662373493,0.423,0.433,0.06370649325157104,IL2,p129
Pik3c2a,4.131416106777317e-6,0.16536713434157257,0.282,0.289,0.06555731078234246,IL2,p129
Tasor2,4.168226288973098e-6,-0.11573208088331194,0.536,0.607,0.06614141475342512,IL2,p129
Tmem164,4.256635949600761e-6,-0.136104658917366,0.427,0.496,0.06754429924826488,IL2,p129
Shcbp1,4.310058373875838e-6,-0.1354977773276672,0.515,0.588,0.0683920062766618,IL2,p129
Prmt6,4.495753697142937e-6,0.335291931636275,0.157,0.151,0.07133861966626412,IL2,p129
Taf13,4.731618981649275e-6,0.10973565527905937,0.264,0.282,0.0750813300008107,IL2,p129
Cbfb,4.760393064961372e-6,0.11324318592346294,0.585,0.604,0.07553791715480705,IL2,p129
Slc25a37,4.791685505817083e-6,0.21806994200247587,0.12,0.126,0.07603446560630547,IL2,p129
Sac3d1,4.910172155660945e-6,0.11263169567080888,0.396,0.416,0.07791461176602787,IL2,p129
H2bc11,4.96735529005567e-6,-0.11331653068835576,0.663,0.727,0.07882199374260337,IL2,p129
4930430F08Rik,5.0567868112993196e-6,0.16574429517367006,0.148,0.158,0.0802410931216976,IL2,p129
Rbm19,5.122065272531124e-6,-0.1896334167161553,0.383,0.455,0.08127693174452388,IL2,p129
Anapc16,5.184018089303807e-6,-0.12887916613573136,0.692,0.76,0.0822599990410728,IL2,p129
Ado,5.358722096048379e-6,0.25118318218879043,0.207,0.204,0.08503220222009568,IL2,p129
Dpy19l1,5.558719820527667e-6,0.2927219371203602,0.243,0.233,0.08820576611213302,IL2,p129
Clock,5.589289876099222e-6,0.222551343235732,0.203,0.206,0.08869085175394247,IL2,p129
Ndc80,5.6779380252473434e-6,-0.11067014943693076,0.542,0.613,0.09009752058462485,IL2,p129
Rnpep,5.687681350048356e-6,-0.10961410310294739,0.398,0.462,0.09025212766256732,IL2,p129
Riok2,5.799891974211183e-6,-0.11549936225546142,0.506,0.576,0.09203268584678305,IL2,p129
Rnf126,5.8382294759604995e-6,0.10897338480341114,0.675,0.692,0.0926410253245412,IL2,p129
Agpat3,5.869849592843178e-6,0.11803638742628991,0.588,0.606,0.09314277333923554,IL2,p129
Sgo2a,6.104589945273025e-6,-0.23409372589821098,0.393,0.469,0.09686763325159237,IL2,p129
Taf5l,6.2222681388042594e-6,0.19808208030371843,0.322,0.32,0.09873495082654599,IL2,p129
Ly6a,6.774384483141544e-252,5.308186793804024,0.74,0.054,1.0749593297849002e-247,IL27,p129
Tbx21,1.5436139080048255e-221,6.083646187476097,0.557,0.01,2.449406549222057e-217,IL27,p129
Stat1,8.56919424444479e-195,1.8458980131772302,0.947,0.667,1.3597597427084992e-190,IL27,p129
Gbp2,1.0314711038709722e-193,3.2097555821862302,0.825,0.227,1.6367383476224586e-189,IL27,p129
Psmb9,2.702625359274384e-170,1.6299595483550777,0.931,0.666,4.288525920096593e-166,IL27,p129
Irf8,5.845711071090727e-163,2.7771000565470887,0.787,0.283,9.275974327606765e-159,IL27,p129
Irf1,6.9304971755075825e-158,2.6080572878227715,0.817,0.249,1.0997312918095431e-153,IL27,p129
Tap1,7.712185124509215e-141,1.788209219310243,0.878,0.508,1.2237695355571222e-136,IL27,p129
Igtp,1.62326714484088e-124,2.7088617368714374,0.72,0.188,2.5758003054335083e-120,IL27,p129
Iigp1,8.672399933577092e-119,5.133640444233116,0.385,0.017,1.3761364214600128e-114,IL27,p129
Gbp4,2.824382922520959e-87,2.867768348452867,0.524,0.108,4.481730821456258e-83,IL27,p129
Irgm1,2.3313845542643997e-78,2.997179795070729,0.454,0.086,3.699441010706749e-74,IL27,p129
Gbp6,1.0927782710796818e-73,3.790037041781404,0.321,0.028,1.734020560549239e-69,IL27,p129
Calhm6,4.234006905602515e-62,3.9397599566625088,0.263,0.021,6.71852215781007e-58,IL27,p129
Gimap4,5.992458437950702e-57,1.4213771883341815,0.751,0.428,9.508833049340175e-53,IL27,p129
Gbp5,1.8910334291536596e-55,2.178251783726954,0.51,0.151,3.000691845381027e-51,IL27,p129
Gbp7,1.4368680431356638e-53,2.736280229338039,0.343,0.058,2.2800222108476714e-49,IL27,p129
Nlrc5,2.6029502369096245e-48,1.6161158378573992,0.598,0.242,4.130361435928192e-44,IL27,p129
Psmb8,1.0007819383830732e-47,0.7600132164824309,0.972,0.894,1.5880407798262607e-43,IL27,p129
Ifi47,1.769181817616402e-47,1.1144526801435013,0.837,0.614,2.807337708193707e-43,IL27,p129
Irgm2,6.8680750145569865e-46,2.9089063681695553,0.274,0.039,1.0898261433099026e-41,IL27,p129
Tgtp2,1.2528818961535504e-41,3.2813010826015305,0.188,0.016,1.9880729928164536e-37,IL27,p129
Etv6,1.5010322233264556e-41,1.1615736782431978,0.759,0.447,2.38183793197442e-37,IL27,p129
Tap2,1.513070640302834e-38,1.1526948595632218,0.69,0.428,2.400940492032537e-34,IL27,p129
Tbkbp1,1.3412125897222973e-36,6.209086115786375,0.091,0.001,2.1282361373713412e-32,IL27,p129
Gimap5,2.3236599318311157e-35,0.8629495882634151,0.861,0.656,3.6871835798296145e-31,IL27,p129
Icam1,4.610669535156694e-33,1.7443297343222428,0.416,0.153,7.316210418386642e-29,IL27,p129
Rgs1,9.724718370808556e-33,1.028580185673459,0.817,0.607,1.5431183110799018e-28,IL27,p129
Ms4a4b,2.7833896401746053e-32,-0.8223894667240763,0.776,0.91,4.416682681029064e-28,IL27,p129
Ppa1,1.121720544934577e-31,0.5396908665962434,0.975,0.909,1.7799461607021866e-27,IL27,p129
Bst2,1.1408748236843357e-31,0.7604433198214645,0.845,0.707,1.8103401702223038e-27,IL27,p129
Aff3,1.5971821320361612e-29,0.9360794234734426,0.842,0.66,2.5344086071149805e-25,IL27,p129
ENSMUSG00000121501,4.5566739910856015e-29,1.2509502930217304,0.557,0.322,7.230530289054633e-25,IL27,p129
Ly6c1,4.647209597309241e-29,4.263847561516908,0.111,0.006,7.3741921890103035e-25,IL27,p129
B2m,4.743319551706341e-29,0.3111418183863517,1,1,7.526699464647622e-25,IL27,p129
9330175E14Rik,8.135514282916463e-29,2.501441847988395,0.186,0.029,1.2909434064131843e-24,IL27,p129
Pmepa1,8.612659921919641e-29,1.2787314969916368,0.526,0.248,1.3666568764102088e-24,IL27,p129
Tapbpl,2.383003370060076e-28,1.04658888786689,0.668,0.417,3.781349747611328e-24,IL27,p129
Irf9,2.3205891908449267e-27,1.7445530409603998,0.341,0.112,3.68231092803273e-23,IL27,p129
